"nombre","descripcion","SKU","categoria_id","unidad_medida_base_id","nombre_empaque_estandar","cantidad_empaque_estandar","unidad_medida_empaque_estandar_id","precio_compra_usd","punto_reorden"
"Jengibre Fresco Nestlé (Bidón 20L)","Insumo esencial para panadería (hortalizas).","MP-HOR-9321","5","2","Bidón 20L","20000","4","27.98","6000"
"Vainilla Negra Puratos (Bidón 20L)","Insumo esencial para panadería (esencias).","MP-ESE-8199","9","5","Bidón 20L","20000","3","488.76","6000"
"Cebolla en Polvo Fleischmann (Caja 12 Litros)","Insumo esencial para panadería (hortalizas).","MP-HOR-4366","5","2","Caja 12 Litros","12000","4","41.99","3600"
"Harina de Almendras Nestlé (Saco 25kg)","Insumo esencial para panadería (harinas).","MP-HAR-6376","3","2","Saco 25kg","25000","2","24.6","7500"
"Mermelada de Guayaba Bakels (Saco 25kg)","Insumo esencial para panadería (mermeladas).","MP-MER-4564","7","2","Saco 25kg","25000","2","143.64","7500"
"Azúcar Morena Kraft (Botella 1L)","Insumo esencial para panadería (dulces y golosinas).","MP-DUL-8757","12","2","Botella 1L","1000","4","4.65","300"
"Leche Descremada Campestre (Saco 25kg)","Insumo esencial para panadería (lácteos).","MP-LÁC-2077","2","2","Saco 25kg","25000","2","81.88","7500"
"Nuez Moscada Bakels (Paquete 1kg)","Insumo esencial para panadería (especias).","MP-ESP-7084","11","1","Paquete 1kg","1000","2","19.49","300"
"Fruta Picada Puratos (Botella 1L)","Insumo esencial para panadería (congelados).","MP-CON-4617","8","3","Botella 1L","1000","3","6.77","300"
"Levadura Fresca Mavesa (Caja 6kg)","Insumo esencial para panadería (especias).","MP-ESP-8944","11","2","Caja 6kg","6000","2","128.48","1800"
"Pulpa de Mora Harina P.A.N. (Saco 25kg)","Insumo esencial para panadería (congelados).","MP-CON-5128","8","2","Saco 25kg","25000","2","137.31","7500"
"Pasas de Corinto Kraft (Saco 45kg)","Insumo esencial para panadería (secos).","MP-SEC-9035","6","2","Saco 45kg","45000","2","793.65","13500"
"Jarabe de Maíz Avelina (Saco 45kg)","Insumo esencial para panadería (dulces y golosinas).","MP-DUL-4264","12","1","Saco 45kg","45000","2","61.18","13500"
"Mermelada de Albaricoque Imperial (Saco 45kg)","Insumo esencial para panadería (mermeladas).","MP-MER-3225","7","1","Saco 45kg","45000","2","291.16","13500"
"Extracto de Naranja Campestre (Caja 6kg)","Insumo esencial para panadería (esencias).","MP-ESE-9217","9","2","Caja 6kg","6000","2","169.63","1800"
"Coco Rallado Puratos (Saco 45kg)","Insumo esencial para panadería (frutas).","MP-FRU-7019","4","2","Saco 45kg","45000","2","180.29","13500"
"Pulpa de Mora Bakels (Paquete 1kg)","Insumo esencial para panadería (congelados).","MP-CON-4190","8","1","Paquete 1kg","1000","2","8.03","300"
"Lluvia de Colores Puratos (Saco 25kg)","Insumo esencial para panadería (dulces y golosinas).","MP-DUL-3602","12","2","Saco 25kg","25000","2","33.39","7500"
"Canela Molida Harina P.A.N. (Paquete 1kg)","Insumo esencial para panadería (especias).","MP-ESP-3290","11","2","Paquete 1kg","1000","2","22.2","300"
"Jalea de Manzana Campestre (Botella 1L)","Insumo esencial para panadería (mermeladas).","MP-MER-8305","7","3","Botella 1L","1000","3","4.27","300"
"Queso Crema Alpina (Bidón 20L)","Insumo esencial para panadería (lácteos).","MP-LÁC-7033","2","5","Bidón 20L","20000","3","108.74","6000"
"Fruta Picada Avelina (Caja 6kg)","Insumo esencial para panadería (congelados).","MP-CON-3216","8","1","Caja 6kg","6000","2","43.33","1800"
"Pimienta Dulce Los Andes (Botella 1L)","Insumo esencial para panadería (especias).","MP-ESP-5237","11","2","Botella 1L","1000","4","22.92","300"
"Masa Madre Deshidratada Puratos (Paquete 500g)","Insumo esencial para panadería (harinas).","MP-HAR-7087","3","5","Paquete 500g","500","5","0.87","150"
"Agua Mineral 20L Robin Hood (Saco 45kg)","Insumo esencial para panadería (bebidas).","MP-BEB-4903","10","2","Saco 45kg","45000","2","147.88","13500"
"Margarina Industrial Nestlé (Saco 25kg)","Insumo esencial para panadería (lácteos).","MP-LÁC-3546","2","1","Saco 25kg","25000","2","84.04","7500"
"Jalea de Membrillo Harina P.A.N. (Botella 1L)","Insumo esencial para panadería (mermeladas).","MP-MER-4923","7","2","Botella 1L","1000","4","3.7","300"
"Lluvia de Colores Robin Hood (Paquete 1kg)","Insumo esencial para panadería (dulces y golosinas).","MP-DUL-9874","12","1","Paquete 1kg","1000","2","6.73","300"
"Extracto de Limón Fleischmann (Bidón 20L)","Insumo esencial para panadería (esencias).","MP-ESE-4817","9","5","Bidón 20L","20000","3","723.44","6000"
"Frutos del Bosque Mix Los Andes (Botella 1L)","Insumo esencial para panadería (congelados).","MP-CON-5058","8","2","Botella 1L","1000","4","7.16","300"
"Pulpa de Mango Mavesa (Saco 45kg)","Insumo esencial para panadería (congelados).","MP-CON-7988","8","1","Saco 45kg","45000","2","297.3","13500"
"Fondant Alpina (Bidón 20L)","Insumo esencial para panadería (dulces y golosinas).","MP-DUL-6120","12","3","Bidón 20L","20000","3","141.95","6000"
"Extracto de Naranja Harina P.A.N. (Paquete 1kg)","Insumo esencial para panadería (esencias).","MP-ESE-2512","9","5","Paquete 1kg","1000","3","30.67","300"
"Sirope de Chocolate Los Andes (Caja 6kg)","Insumo esencial para panadería (mermeladas).","MP-MER-7331","7","1","Caja 6kg","6000","2","34.56","1800"
"Lluvia de Colores Mavesa (Paquete 500g)","Insumo esencial para panadería (dulces y golosinas).","MP-DUL-5328","12","5","Paquete 500g","500","5","1.13","150"
"Agua de Azahar Fleischmann (Caja 12 Litros)","Insumo esencial para panadería (bebidas).","MP-BEB-9277","10","5","Caja 12 Litros","12000","3","18.71","3600"
"Aroma de Panetón Campestre (Caja 12 Litros)","Insumo esencial para panadería (esencias).","MP-ESE-5470","9","3","Caja 12 Litros","12000","3","182.76","3600"
"Harina de Maíz Amarillo Imperial (Caja 6kg)","Insumo esencial para panadería (harinas).","MP-HAR-9982","3","2","Caja 6kg","6000","2","7.02","1800"
"Base para Tartas Alpina (Saco 45kg)","Insumo esencial para panadería (congelados).","MP-CON-9402","8","1","Saco 45kg","45000","2","326.58","13500"
"Masa para Croissants Harina P.A.N. (Paquete 1kg)","Insumo esencial para panadería (congelados).","MP-CON-6574","8","2","Paquete 1kg","1000","2","9.5","300"
"Cambur Maduro Mavesa (Saco 45kg)","Insumo esencial para panadería (frutas).","MP-FRU-8490","4","1","Saco 45kg","45000","2","110.72","13500"
"Mantequilla con Sal Los Andes (Paquete 500g)","Insumo esencial para panadería (lácteos).","MP-LÁC-2181","2","2","Paquete 500g","500","1","1.64","150"
"Pulpa de Mora Los Andes (Paquete 500g)","Insumo esencial para panadería (congelados).","MP-CON-7170","8","5","Paquete 500g","500","5","2.72","150"
"Yogurt Griego Primicia (Saco 45kg)","Insumo esencial para panadería (lácteos).","MP-LÁC-9150","2","1","Saco 45kg","45000","2","106.69","13500"
"Leche Descremada Campestre (Bidón 20L)","Insumo esencial para panadería (lácteos).","MP-LÁC-6776","2","5","Bidón 20L","20000","3","46.87","6000"
"Vainilla Negra Fleischmann (Saco 45kg)","Insumo esencial para panadería (esencias).","MP-ESE-5293","9","1","Saco 45kg","45000","2","824.04","13500"
"Harina de Avena Nestlé (Saco 25kg)","Insumo esencial para panadería (harinas).","MP-HAR-6898","3","2","Saco 25kg","25000","2","43.93","7500"
"Extracto de Café Nestlé (Caja 12 Litros)","Insumo esencial para panadería (esencias).","MP-ESE-2119","9","5","Caja 12 Litros","12000","3","292.5","3600"
"Lluvia de Colores Fleischmann (Paquete 1kg)","Insumo esencial para panadería (dulces y golosinas).","MP-DUL-8471","12","1","Paquete 1kg","1000","2","2.61","300"
"Auyama Cocida Mavesa (Saco 45kg)","Insumo esencial para panadería (hortalizas).","MP-HOR-6617","5","2","Saco 45kg","45000","2","81.65","13500"
"Harina Integral Fina Campestre (Paquete 1kg)","Insumo esencial para panadería (harinas).","MP-HAR-6561","3","2","Paquete 1kg","1000","2","1.54","300"
"Harina Integral Fina Alpina (Bidón 20L)","Insumo esencial para panadería (harinas).","MP-HAR-8639","3","2","Bidón 20L","20000","4","46.73","6000"
"Canela Molida Fleischmann (Saco 45kg)","Insumo esencial para panadería (especias).","MP-ESP-4724","11","1","Saco 45kg","45000","2","971.45","13500"
"Lluvia de Chocolate Los Andes (Paquete 1kg)","Insumo esencial para panadería (dulces y golosinas).","MP-DUL-6593","12","1","Paquete 1kg","1000","2","5.92","300"
"Topping de Caramelo Kraft (Caja 12 Litros)","Insumo esencial para panadería (mermeladas).","MP-MER-4136","7","3","Caja 12 Litros","12000","3","104.66","3600"
"Zanahoria Rallada Mavesa (Paquete 500g)","Insumo esencial para panadería (hortalizas).","MP-HOR-4753","5","2","Paquete 500g","500","1","1.18","150"
"Agua de Azahar Imperial (Caja 12 Litros)","Insumo esencial para panadería (bebidas).","MP-BEB-7102","10","5","Caja 12 Litros","12000","3","32.54","3600"
"Harina de Avena Harina P.A.N. (Paquete 500g)","Insumo esencial para panadería (harinas).","MP-HAR-2898","3","2","Paquete 500g","500","1","1.31","150"
"Jarabe de Maíz Nestlé (Caja 12 Litros)","Insumo esencial para panadería (dulces y golosinas).","MP-DUL-5105","12","3","Caja 12 Litros","12000","3","20.7","3600"
"Auyama Cocida Harina P.A.N. (Saco 25kg)","Insumo esencial para panadería (hortalizas).","MP-HOR-7589","5","2","Saco 25kg","25000","2","81.31","7500"
"Cerezas Marrasquino Avelina (Bidón 20L)","Insumo esencial para panadería (frutas).","MP-FRU-9122","4","2","Bidón 20L","20000","4","82.52","6000"
"Chispas de Chocolate 50% Avelina (Botella 1L)","Insumo esencial para panadería (secos).","MP-SEC-3350","6","2","Botella 1L","1000","4","17.85","300"
"Pistachos Pelados Fleischmann (Saco 45kg)","Insumo esencial para panadería (secos).","MP-SEC-1790","6","2","Saco 45kg","45000","2","648.28","13500"
"Esencia de Mantecado Robin Hood (Paquete 500g)","Insumo esencial para panadería (esencias).","MP-ESE-8864","9","2","Paquete 500g","500","1","19.2","150"
"Pulpa de Mango Mavesa (Paquete 1kg)","Insumo esencial para panadería (congelados).","MP-CON-4668","8","1","Paquete 1kg","1000","2","8.91","300"
"Fruta Confitada Imperial (Saco 45kg)","Insumo esencial para panadería (secos).","MP-SEC-9250","6","1","Saco 45kg","45000","2","773.27","13500"
"Agua Destilada Harina P.A.N. (Saco 25kg)","Insumo esencial para panadería (bebidas).","MP-BEB-9171","10","5","Saco 25kg","25000","3","24.77","7500"
"Jugo de Limón Puro Los Andes (Paquete 500g)","Insumo esencial para panadería (bebidas).","MP-BEB-1227","10","2","Paquete 500g","500","1","1.96","150"
"Granola Artesanal Los Andes (Paquete 500g)","Insumo esencial para panadería (secos).","MP-SEC-8246","6","2","Paquete 500g","500","1","7.48","150"
"Manzanas Verdes Harina P.A.N. (Bidón 20L)","Insumo esencial para panadería (frutas).","MP-FRU-4724","4","2","Bidón 20L","20000","4","49.03","6000"
"Agua de Azahar Robin Hood (Caja 6kg)","Insumo esencial para panadería (bebidas).","MP-BEB-8597","10","5","Caja 6kg","6000","3","5.33","1800"
"Harina de Maíz Amarillo Bakels (Caja 12 Litros)","Insumo esencial para panadería (harinas).","MP-HAR-5628","3","2","Caja 12 Litros","12000","4","22.21","3600"
"Malta Concentrada Bakels (Paquete 1kg)","Insumo esencial para panadería (bebidas).","MP-BEB-1961","10","1","Paquete 1kg","1000","2","2.89","300"
"Nueces Mariposa Primicia (Caja 6kg)","Insumo esencial para panadería (secos).","MP-SEC-8641","6","2","Caja 6kg","6000","2","80.83","1800"
"Masa Madre Deshidratada Imperial (Caja 6kg)","Insumo esencial para panadería (harinas).","MP-HAR-5695","3","1","Caja 6kg","6000","2","10.83","1800"
"Pasas de Corinto Imperial (Paquete 1kg)","Insumo esencial para panadería (secos).","MP-SEC-4969","6","1","Paquete 1kg","1000","2","13.09","300"
"Fécula de Maíz Campestre (Bidón 20L)","Insumo esencial para panadería (harinas).","MP-HAR-7480","3","2","Bidón 20L","20000","4","31.21","6000"
"Mermelada de Guayaba Mavesa (Saco 45kg)","Insumo esencial para panadería (mermeladas).","MP-MER-5103","7","1","Saco 45kg","45000","2","352.94","13500"
"Jugo de Limón Puro Kraft (Caja 6kg)","Insumo esencial para panadería (bebidas).","MP-BEB-2135","10","1","Caja 6kg","6000","2","16.18","1800"
"Esencia de Almendra Puratos (Paquete 500g)","Insumo esencial para panadería (esencias).","MP-ESE-2813","9","2","Paquete 500g","500","1","21.86","150""Harina de Trigo Panadera","Harina de trigo de alta fuerza para pan.","MP-HAR-0001","3","2","Saco 50kg","50000","2","25.0","10000"
"Agua Potable","Agua para elaboración de pan.","MP-BEB-0001","10","5","Garrafón 20L","20000","5","1.0","5000"
"Levadura Instantánea","Levadura seca de acción rápida.","MP-ESP-0001","11","2","Bloque 500g","500","2","4.5","500"
"Azúcar Blanca","Azúcar refinada estándar.","MP-DUL-0001","12","2","Saco 50kg","50000","2","42.0","10000"
"Sal Refinada","Sal de mesa fina.","MP-ESP-0002","11","2","Saco 25kg","25000","2","8.0","5000"
"Mantequilla Sin Sal","Mantequilla pura para repostería.","MP-LÁC-0001","2","2","Bloque 2.5kg","2500","2","18.0","2500"
"Huevo Fresco","Huevo de gallina para panadería.","MP-LAC-0002","2","6","Cartón 30ud","30","6","4.50","90"
"Leche en Polvo Completa","Leche en polvo para panadería.","MP-LAC-0003","2","2","Saco 25kg","25000","2","150.00","5000"
"Pasta de Guayaba (Bocadillo)","Pasta sólida de guayaba para rellenos.","MP-MER-0001","7","2","Caja 5kg","5000","2","15.00","1000"
"Jamón Ahumado (Pieza 5kg)","Jamón ahumado de alta calidad para pan de jamón.","MP-CAR-0001","6","1","Pieza 5kg","5000","2","35.0","1000"
"Tocineta Ahumada (Paquete 1kg)","Tocineta ahumada en tiras.","MP-CAR-0002","6","1","Paquete 1kg","1000","2","12.0","500"
"Aceitunas Rellenas (Frasco 1kg)","Aceitunas rellenas de pimentón.","MP-VEG-0001","5","1","Frasco 1kg","1000","2","8.0","300"
"Papelón (Panela)","Papelón granulado o en bloque para melao.","MP-DUL-0002","12","1","Bolsa 1kg","1000","2","2.5","200"
"Mostaza Preparada (Frasco 500ml)","Mostaza amarilla preparada.","MP-ESP-0003","11","5","Frasco 500ml","500","5","3.0","100"
"Cacao en Polvo (Bolsa 1kg)","Cacao puro en polvo para repostería.","MP-DUL-0003","12","2","Bolsa 1kg","1000","2","15.0","500"
"Polvo de Hornear (Pote 500g)","Levadura química para repostería.","MP-ESP-0004","11","2","Pote 500g","500","2","3.5","100"
"Bicarbonato de Sodio (Bolsa 500g)","Agente leudante para repostería.","MP-ESP-0005","11","2","Bolsa 500g","500","2","2.0","100"
"Vinagre Blanco (Botella 1L)","Vinagre de alcohol para cocina.","MP-ESP-0006","11","5","Botella 1L","1000","5","1.5","200"
"Aceite de Girasol (Botella 1L)","Aceite vegetal refinado.","MP-ESP-0007","11","2","Botella 1L","915","1","2.5","500"
"Harina de Trigo Todo Uso (Saco 45kg)","Harina de trigo versátil para repostería.","MP-HAR-0002","3","2","Saco 45kg","45000","2","22.0","5000"
"Leche Líquida Completa (Cartón 1L)","Leche pasteurizada líquida.","MP-LAC-0004","2","5","Cartón 1L","1000","5","1.2","500"

