nombre_producto,SKU,descripcion,unidad_produccion_id,unidad_venta_id,precio_venta_usd,punto_reorden,categoria_id,es_intermediario,tipo_medida_fisica,vendible_por_medida_real
Tarta de Pistacho (8 porciones),PE-FIN-037,Tarta elegante con crema de pistacho.,6,6,32.0,18.0,12,False,UNIDAD,False
Croissant de Dulce de Leche,PE-FIN-038,Croissant relleno de dulce de leche.,6,6,3.6,100.0,12,False,UNIDAD,False
Pan RÃºstico de Aceitunas,PE-FIN-039,Pan salado con aceitunas.,6,6,3.8,95.0,10,False,UNIDAD,False
Empanada de Queso Crema,PE-FIN-040,Empanada dulce con queso crema.,6,6,2.8,140.0,11,False,UNIDAD,False
Tarta de Moka (6 porciones),PE-FIN-041,Tarta de cafÃ© y chocolate.,6,6,25.0,24.0,12,False,UNIDAD,False
Pastelito de Vegetales,PE-FIN-042,Pastelito vegetariano horneado.,6,6,2.35,155.0,11,False,UNIDAD,False
Galletas de Jengibre (Paquete 6u),PE-FIN-043,Galletas especiadas de jengibre.,6,6,4.7,88.0,9,False,UNIDAD,False
Pan de Ajo y Hierbas,PE-FIN-044,Pan aromÃ¡tico con ajo y hierbas.,6,6,3.3,108.0,10,False,UNIDAD,False
Cappuccino Artesanal,PE-FIN-045,Bebida caliente de cafÃ© con espuma.,5,5,2.8,45.0,8,False,VOLUMEN,True
Tarta de Caramelo (8 porciones),PE-FIN-046,Tarta con crema de caramelo.,6,6,26.5,21.0,12,False,UNIDAD,False
Croissant de Nutella,PE-FIN-047,Croissant relleno de crema de avellanas.,6,6,4.2,92.0,12,False,UNIDAD,False
Pan Brioche Artesanal,PE-FIN-048,Pan dulce y esponjoso.,6,6,4.0,88.0,10,False,UNIDAD,False
Empanada de JamÃ³n y Queso Crema,PE-FIN-049,Empanada cremosa horneada.,6,6,2.75,145.0,11,False,UNIDAD,False
Tarta de Frutos Rojos (6 porciones),PE-FIN-050,Tarta con frutas del bosque.,6,6,28.5,19.0,12,False,UNIDAD,False
Pan Canilla ,PE-FIN-051,Pan tÃ­pico venezolano de corteza suave.,5,5,1.50,100.0,10,FALSE,UNIDAD,FALSE
Pan de Guayaba,PE-FIN-052,Pan dulce relleno de pasta de guayaba.,5,5,3.50,100.0,10,FALSE,UNIDAD,FALSE
Pan de JamÃ³n Tradicional,PE-FIN-055,ClÃ¡sico pan de jamÃ³n venezolano navideÃ±o.,6,6,15.00,100.0,10,FALSE,UNIDAD,FALSE
